"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1904706","negative regulation of vascular associated smooth muscle cell proliferation","7/1652","21/16481",0.333333333333333,3.32546408393866,3.5590333768806,0.00329431467628668,0.0281973844636944,0.0281973844636944,"8862/8490/2852/5468/5592/93649/1264",7
"GO:0006805","xenobiotic metabolic process","23/1652","126/16481",0.182539682539683,1.82108747453784,3.08799876553323,0.00329503225506187,0.0281973844636944,0.0281973844636944,"1551/6095/11309/13/2940/1572/5243/6283/316/1543/56603/1553/217/2327/590/6579/6817/10249/27233/348158/1544/5581/4842",23
"GO:0030203","glycosaminoglycan metabolic process","14/1652","63/16481",0.222222222222222,2.21697605595911,3.23012906194518,0.00329607972961403,0.0281973844636944,0.0281973844636944,"2247/3036/55576/3373/3699/8692/10894/5155/11227/960/83539/80760/3553/8993",14
"GO:0051495","positive regulation of cytoskeleton organization","29/1652","171/16481",0.169590643274854,1.69190277954774,3.03559509588109,0.00331252224705928,0.0281973844636944,0.0281973844636944,"1490/4653/25802/10979/10763/6376/91807/11346/8477/22899/3071/10174/79933/10810/1440/246/1073/28984/9037/859/22998/1906/3055/88/335/5581/9647/171024/6369",29
"GO:0099174","regulation of presynapse organization","9/1652","32/16481",0.28125,2.80586032082324,3.41284910604178,0.00331510268861064,0.0281973844636944,0.0281973844636944,"84631/2895/89780/7476/4916/94030/6622/22865/266727",9
"GO:0001562","response to protozoan","6/1652","16/16481",0.375,3.74114709443099,3.66133238906032,0.0033186628433233,0.0281973844636944,0.0281973844636944,"6556/388646/5196/4818/115361/383",6
"GO:0003356","regulation of cilium beat frequency","6/1652","16/16481",0.375,3.74114709443099,3.66133238906032,0.0033186628433233,0.0281973844636944,0.0281973844636944,"55130/246176/284076/154313/80217/123872",6
"GO:0030214","hyaluronan catabolic process","6/1652","16/16481",0.375,3.74114709443099,3.66133238906032,0.0033186628433233,0.0281973844636944,0.0281973844636944,"2247/55576/3373/8692/10894/960",6
"GO:0035809","regulation of urine volume","6/1652","16/16481",0.375,3.74114709443099,3.66133238906032,0.0033186628433233,0.0281973844636944,0.0281973844636944,"1910/8692/51763/4883/4881/554",6
"GO:0042832","defense response to protozoan","6/1652","16/16481",0.375,3.74114709443099,3.66133238906032,0.0033186628433233,0.0281973844636944,0.0281973844636944,"6556/388646/5196/4818/115361/383",6
"GO:0098915","membrane repolarization during ventricular cardiac muscle cell action potential","6/1652","16/16481",0.375,3.74114709443099,3.66133238906032,0.0033186628433233,0.0281973844636944,0.0281973844636944,"3762/3764/6327/3753/845/4842",6
