"time","S_mean"
4,0.998744315519219
13,0.998744315519219
15,0.998744315519219
19,0.997476363924288
22,0.996204211986118
24,0.996204211986118
33,0.994926820553651
35,0.994926820553651
36,0.994926820553651
44,0.994926820553651
48,0.994926820553651
50,0.994926820553651
58,0.993628749941382
60,0.993628749941382
62,0.992322728925429
79,0.992322728925429
84,0.992322728925429
87,0.991003731300726
91,0.989679151773917
118,0.988348862750779
119,0.988348862750779
121,0.987004791555819
124,0.98565454033854
129,0.98565454033854
131,0.98565454033854
133,0.98565454033854
134,0.98565454033854
139,0.984278363814557
161,0.982890034859022
164,0.981494188842883
167,0.980092427505227
171,0.978684668234087
173,0.977270468280763
174,0.977270468280763
176,0.975848441070803
182,0.975848441070803
184,0.975848441070803
186,0.975848441070803
187,0.974403537360788
189,0.97295368883598
210,0.971497106648244
218,0.971497106648244
224,0.971497106648244
225,0.971497106648244
230,0.971497106648244
237,0.970023924383428
244,0.968546592506028
250,0.967064391153207
257,0.965572634787677
258,0.964073330521272
260,0.962564914473403
264,0.962564914473403
268,0.961036722295579
274,0.95950107633452
281,0.957955855038238
282,0.956405554135687
285,0.956405554135687
287,0.956405554135687
291,0.95483363735161
300,0.953255953918516
307,0.951678664194849
308,0.95009086792875
310,0.95009086792875
323,0.95009086792875
336,0.946895232451828
340,0.945289627686986
343,0.943678861469656
351,0.943678861469656
353,0.943678861469656
354,0.943678861469656
365,0.943678861469656
375,0.942037738729675
377,0.942037738729675
385,0.942037738729675
408,0.942037738729675
409,0.940377225403414
411,0.940377225403414
414,0.938713543717755
415,0.938713543717755
417,0.938713543717755
418,0.938713543717755
423,0.938713543717755
424,0.938713543717755
426,0.938713543717755
427,0.938713543717755
428,0.936992965035168
429,0.935266298502933
434,0.93352931432125
435,0.93352931432125
440,0.93352931432125
442,0.931769999736363
444,0.929995920197972
446,0.929995920197972
448,0.929995920197972
455,0.929995920197972
457,0.9281781326164
460,0.926351012545022
464,0.924521708960266
466,0.924521708960266
467,0.924521708960266
468,0.920801272994013
469,0.918925670438005
476,0.918925670438005
478,0.917039986527602
481,0.917039986527602
486,0.917039986527602
487,0.917039986527602
488,0.915130736660389
492,0.915130736660389
500,0.913193816175222
503,0.911250496616712
505,0.911250496616712
515,0.911250496616712
531,0.911250496616712
534,0.911250496616712
536,0.911250496616712
540,0.911250496616712
541,0.911250496616712
547,0.911250496616712
550,0.909252098343526
552,0.909252098343526
553,0.909252098343526
557,0.907235967127315
564,0.907235967127315
565,0.907235967127315
567,0.907235967127315
568,0.907235967127315
574,0.905143185721902
578,0.905143185721902
582,0.90300474420846
586,0.900857419730929
591,0.900857419730929
592,0.900857419730929
594,0.898676849720377
596,0.898676849720377
598,0.896489298927536
600,0.896489298927536
601,0.896489298927536
603,0.896489298927536
605,0.896489298927536
607,0.894234496385875
609,0.894234496385875
610,0.894234496385875
614,0.891928048836476
617,0.891928048836476
624,0.88956731322112
625,0.887179484591699
626,0.884775485127988
629,0.884775485127988
630,0.884775485127988
651,0.884775485127988
652,0.884775485127988
653,0.882256145266294
656,0.879727713637566
657,0.879727713637566
658,0.879727713637566
664,0.879727713637566
669,0.879727713637566
670,0.879727713637566
683,0.879727713637566
689,0.879727713637566
690,0.879727713637566
691,0.879727713637566
694,0.876989252688264
697,0.874250725152912
701,0.874250725152912
702,0.871460515065747
704,0.871460515065747
705,0.871460515065747
711,0.868650075123224
719,0.865805618073626
724,0.865805618073626
730,0.865805618073626
731,0.862907489839903
737,0.859981140781355
739,0.859981140781355
740,0.859981140781355
741,0.859981140781355
747,0.859981140781355
760,0.856931848300734
761,0.853857393673806
773,0.853857393673806
775,0.853857393673806
791,0.853857393673806
800,0.850608650874137
805,0.850608650874137
807,0.847277170945541
808,0.843916980286195
813,0.843916980286195
827,0.843916980286195
829,0.843916980286195
830,0.843916980286195
839,0.843916980286195
842,0.843916980286195
845,0.843916980286195
869,0.840325800786425
872,0.840325800786425
879,0.836716579537712
882,0.836716579537712
888,0.836716579537712
896,0.832935936702712
904,0.832935936702712
905,0.829106179113082
912,0.829106179113082
922,0.825208070092295
929,0.821248025180948
938,0.821248025180948
947,0.821248025180948
952,0.817123930149391
976,0.812906765929613
977,0.812906765929613
987,0.808584875490998
993,0.808584875490998
995,0.79985327751426
997,0.79985327751426
999,0.795414638243765
1036,0.795414638243765
1040,0.795414638243765
1046,0.79083096986419
1060,0.79083096986419
1071,0.79083096986419
1072,0.79083096986419
1073,0.785901348083891
1079,0.785901348083891
1097,0.785901348083891
1118,0.785901348083891
1119,0.785901348083891
1125,0.785901348083891
1126,0.785901348083891
1130,0.785901348083891
1147,0.780305948890019
1148,0.780305948890019
1157,0.780305948890019
1159,0.780305948890019
1163,0.780305948890019
1175,0.780305948890019
1178,0.780305948890019
1183,0.780305948890019
1215,0.773846461120792
1216,0.773846461120792
1229,0.767167260334975
1233,0.767167260334975
1235,0.760444000797472
1272,0.760444000797472
1280,0.760444000797472
1285,0.760444000797472
1288,0.753177817605693
1301,0.753177817605693
1324,0.753177817605693
1351,0.753177817605693
1367,0.753177817605693
1369,0.753177817605693
1379,0.745194825705681
1400,0.745194825705681
1429,0.745194825705681
1431,0.745194825705681
1432,0.745194825705681
1454,0.736436882553253
1474,0.736436882553253
1479,0.736436882553253
1492,0.727200178125231
1501,0.717714498574483
1523,0.717714498574483
1528,0.707702931555445
1531,0.69765041598544
1559,0.69765041598544
1600,0.687437255025665
1617,0.687437255025665
1621,0.687437255025665
1622,0.676247130348916
1632,0.664988228444613
1653,0.653658512643613
1683,0.653658512643613
1700,0.653658512643613
1725,0.641347999800528
1750,0.641347999800528
1778,0.6288172614713
1790,0.615672870736438
1798,0.601563413011496
1830,0.587417014331687
1847,0.587417014331687
1870,0.587417014331687
1932,0.587417014331687
1965,0.587417014331687
2067,0.587417014331687
2109,0.587417014331687
2224,0.587417014331687
2248,0.587417014331687
2318,0.566278801415456
2360,0.566278801415456
2449,0.566278801415456
2488,0.566278801415456
2620,0.538880869272415
2681,0.51107624868397
2696,0.51107624868397
3169,0.458742564363039
3261,0.458742564363039
3361,0.395357154949327
3635,0.395357154949327
3759,0.395357154949327
4765,0.395357154949327
4961,0.283467049058962
4992,0.283467049058962
6732,0.283467049058962
